카테고리	질문	예상 추천 답변
C++	bool 배열 대신 bitset이나 비트마스크를 사용하는 이유는?	"bool은 최소 1바이트를 차지하지만, bitset은 1비트당 하나의 상태를 저장하여 메모리를 8배 절약합니다. 또한 CPU의 비트 연산을 통해 다수의 플래그를 한 번에 효율적으로 처리할 수 있습니다."
C++	복사 생성자와 대입 연산자(=)의 차이와 호출 상황?	"복사 생성자는 새 객체를 생성하면서 기존 객체를 복사할 때(T a = b;) 호출되며, 대입 연산자는 이미 생성된 객체에 다른 객체의 값을 대입할 때(a = b;) 호출됩니다."
C++	얕은 복사와 깊은 복사의 차이 및 제어 방법?	"얕은 복사는 포인터 주소만 복사하여 두 객체가 같은 메모리를 참조하게 됩니다. 깊은 복사는 실제 데이터를 새로운 메모리에 할당하여 복사하며, C++에서는 복사 생성자와 대입 연산자를 직접 정의하여 이를 제어합니다."
C++	shared_ptr 순환 참조 문제와 weak_ptr 해결법?	두 객체가 서로를 shared_ptr로 가리키면 참조 횟수가 0이 되지 않아 메모리 누수가 발생합니다. 한쪽을 weak_ptr로 선언하면 참조 횟수에 영향을 주지 않으면서 순환 참조를 끊을 수 있습니다.
C++	부모 클래스 소멸자를 virtual로 선언해야 하는 이유?	"기반 클래스 포인터로 파생 클래스 객체를 삭제할 때, 가상 소멸자가 아니면 부모의 소멸자만 호출되어 자식에서 할당한 자원이 해제되지 않는 메모리 누수가 발생하기 때문입니다."
C++	R-value 참조(&&)와 이동 의미론(Move Semantics)의 목적은?	불필요한 깊은 복사를 피하기 위해 소유권을 '이동' 시키는 것이 목적입니다. 임시 객체의 자원을 재사용함으로써 시스템 성능을 크게 향상시킵니다.
CS	DB 락(Lock)의 필요성과 문제점?	"데이터 무결성과 일관성을 보장하기 위해 필요합니다. 하지만 과도한 락은 성능 저하를 일으키고, 서로의 락이 풀리기를 무한히 기다리는 데드락(Deadlock)이 발생할 수 있습니다."
CS	프로세스와 스레드의 차이 및 멀티스레딩 장단점?	"프로세스는 독립된 실행 단위이며, 스레드는 프로세스 내의 실행 흐름으로 메모리를 공유합니다. 멀티스레딩은 자원 공유로 효율적이지만, 동기화 문제와 하나의 스레드 장애가 전체에 영향을 줄 수 있습니다."
CS	가상 메모리와 페이지 폴트?	가상 메모리는 물리 메모리보다 큰 공간을 사용하게 하는 기술입니다. 페이지 폴트는 필요한 데이터가 RAM에 없어 보조 기억 장치로부터 불러와야 할 때 발생합니다.
CS	TCP와 UDP의 차이점?	TCP는 연결 지향형으로 신뢰성을 보장하지만 속도가 상대적으로 느립니다. UDP는 비연결형으로 신뢰성 보장은 없으나 오버헤드가 적어 속도가 빠릅니다.
CS	캐시의 지역성(Locality)과 종류?	데이터 접근이 특정 영역에 집중되는 성질입니다. 최근 접근한 데이터에 다시 접근하는 '시간 지역성'과 접근한 데이터의 주변 데이터에 접근하는 '공간 지역성'이 있습니다.
CS	뮤텍스와 세마포어의 차이?	뮤텍스는 임계 영역에 한 번에 하나만 들어갈 수 있고 소유권을 가진 스레드만 락을 해제할 수 있습니다. 세마포어는 허용 개수만큼 접근이 가능하며 서로 다른 스레드가 신호를 보낼 수 있습니다.
자료구조	배열과 연결 리스트의 차이 및 선택 기준?	"배열은 연속된 메모리로 인덱스 접근이 빠르나 삽입/삭제가 느립니다. 연결 리스트는 메모리가 흩어져 있어 접근은 느리나 삽입/삭제가 빠릅니다. 데이터 접근이 잦으면 배열, 삽입/삭제가 잦으면 리스트를 선택합니다."
자료구조	해시 테이블 충돌 해결 방법 및 장단점?	"체이닝(Chaining)은 리스트로 연결하는 방식(구현 단순, 추가 메모리 필요), 개방 주소법(Open Addressing)은 빈 버킷을 찾는 방식(메모리 절약, 클러스터링 가능성)이 있습니다."
자료구조	스택과 큐의 차이 및 활용 예?	스택은 LIFO(후입선출)로 뒤로가기나 함수 호출 등에 사용됩니다. 큐는 FIFO(선입선출)로 인쇄 대기열이나 프로세스 스케줄링 등에 사용됩니다.
자료구조	우선순위 큐에 힙을 사용하는 이유?	"배열이나 리스트는 삽입/삭제 시 O(N)이 걸리지만, 힙은 트리 구조를 이용해 O(log N)으로 처리할 수 있어 대량의 데이터 처리에 효율적이기 때문입니다."
자료구조	다익스트라와 A* 알고리즘 차이 및 게임 활용?	"다익스트라는 모든 노드까지의 최단 거리를 구하지만, A*는 목적지까지의 예상 거리(Heuristic)를 더해 탐색 속도를 높입니다. 게임 길찾기에는 주로 A*가 사용됩니다."
자료구조	"BST의 탐색, 삽입, 삭제 평균 시간 복잡도?"	평균적으로 O(log N)입니다. 하지만 트리가 한쪽으로 치우친(Skewed) 경우 최악의 성능인 O(N)을 보일 수 있습니다.
